dc,time,wm_changes,firing_count
398,7,5,0
399,61,36,9
400,28,12,1
401,93,61,13
402,27,12,1
403,121,60,10
404,180,24,1
405,103,73,8
406,61,23,8
407,158,58,3
408,159,38,12
409,178,39,6
410,110,25,6
411,9,5,0
412,60,36,9
413,30,12,1
414,90,61,12
415,38,12,1
416,84,60,10
417,157,28,1
418,89,74,8
419,89,34,14
420,42,23,2
421,191,58,3
422,186,54,11
423,111,25,5
424,8,5,0
425,61,36,9
426,26,12,1
427,92,61,13
428,26,12,1
429,85,60,10
430,326,21,1
431,96,76,8
432,125,49,23
433,57,23,5
434,50,23,4
435,45,23,3
436,40,23,2
437,216,58,3
438,263,69,18
439,113,19,4
440,10,5,0
441,63,36,9
442,27,12,1
443,94,61,13
444,44,12,1
445,95,60,10
446,230,22,1
447,96,73,8
448,64,23,8
449,176,58,3
450,181,38,12
451,171,39,6
452,159,25,6
453,9,5,0
454,60,36,9
455,30,12,1
456,90,61,12
457,36,12,1
458,89,60,10
459,73,16,1
460,88,71,8
461,50,20,5
462,185,58,3
463,165,35,12
464,98,23,6
465,236,63,14
466,94,23,7
467,236,57,15
468,61,17,1
469,9,5,0
470,90,52,14
471,37,13,1
472,71,61,6
473,39,13,1
474,64,60,6
475,906,187,1
476,112,80,9
477,197,75,33
478,109,23,15
479,99,23,14
480,91,23,13
481,88,23,12
482,85,23,11
483,83,23,10
484,78,23,9
485,76,23,8
486,73,23,7
487,71,23,6
488,68,23,5
489,66,23,4
490,64,23,3
491,48,23,2
492,401,63,2
493,879,187,61
494,293,47,13
495,106,24,2
496,229,38,5
497,436,25,6
498,9,5,0
499,67,36,9
500,31,12,1
501,93,61,12
502,29,12,1
503,88,60,10
504,26,11,1
505,84,58,7
506,124,41,8
507,203,21,5
508,69,22,7
509,247,71,3
510,300,44,14
511,323,86,15
512,58,14,2
513,86,19,4
514,9,5,0
515,60,36,9
516,27,12,1
517,95,61,12
518,28,12,1
519,85,60,10
520,69,15,1
521,85,71,8
522,48,20,5
523,235,58,3
524,223,41,16
525,98,20,1
526,9,5,0
527,74,45,11
528,27,13,1
529,67,61,6
530,161,32,1
531,84,68,9
532,91,27,9
533,50,23,3
534,39,23,2
535,194,59,2
536,213,52,13
537,331,69,22
538,108,14,3
539,234,40,7
540,26,8,5
541,48,28,7
542,24,13,2
543,26,13,2
544,734,534,6
545,154,3,0
