dc,time,wm_changes,firing_count
7013,66,38,9
7014,31,13,1
7015,229,102,8
7016,31,13,2
7017,107,20,5
7018,11,5,0
7019,67,36,9
7020,40,12,1
7021,100,61,13
7022,32,12,1
7023,104,60,10
7024,80,16,1
7025,98,71,8
7026,66,20,5
7027,310,62,6
7028,257,33,8
7029,12,5,0
7030,129,52,14
7031,32,13,1
7032,80,61,6
7033,329,61,1
7034,128,82,11
7035,135,39,16
7036,86,23,7
7037,72,23,6
7038,69,23,5
7039,66,23,4
7040,71,23,3
7041,56,12,1
7042,307,59,2
7043,637,94,34
7044,253,35,5
7045,126,19,4
7046,12,5,0
7047,69,36,9
7048,57,12,1
7049,114,61,12
7050,36,12,1
7051,103,60,10
7052,278,49,1
7053,112,77,8
7054,143,45,21
7055,70,23,4
7056,59,23,3
7057,50,23,2
7058,423,58,3
7059,389,72,17
7060,192,19,4
7061,12,5,0
7062,68,36,9
7063,33,12,1
7064,107,61,13
7065,32,12,1
7066,99,60,10
7067,113,21,1
7068,105,73,8
7069,70,23,8
7070,340,58,3
7071,409,53,20
7072,330,47,6
7073,172,19,4
7074,13,5,0
7075,65,36,9
7076,33,12,1
7077,101,61,12
7078,32,12,1
7079,106,60,10
7080,142,25,1
7081,105,73,8
7082,72,24,9
7083,391,58,3
7084,375,50,16
7085,277,38,6
7086,197,20,5
7087,13,5,0
7088,67,36,9
7089,31,12,1
7090,100,61,12
7091,31,12,1
7092,103,60,10
7093,73,15,1
7094,101,71,8
7095,58,20,5
7096,398,58,3
7097,279,38,14
7098,196,31,11
7099,13,5,0
7100,123,46,17
7101,73,29,8
7102,2858,91,12
7103,468,78,24
7104,121,14,2
7105,159,26,7
7106,375,59,18
7107,114,12,1
7108,150,23,7
7109,409,62,23
7110,129,13,1
7111,134,20,1
7112,12,5,0
7113,89,45,11
7114,33,13,1
7115,79,61,6
7116,186,32,1
7117,96,68,9
7118,82,27,9
7119,58,23,3
7120,48,23,2
7121,256,59,2
7122,248,52,13
7123,375,51,19
7124,141,14,3
7125,302,40,7
7126,30,8,5
7127,53,28,7
7128,29,13,2
7129,28,13,2
7130,1858,670,5
7131,131,5,1
7132,54,31,9
7133,8,5,0
7134,69,36,13
7135,163,24,4
7136,386,71,1
7137,21,3,0
7138,52,31,9
7139,8,5,0
7140,48,31,8
7141,25,15,1
7142,470,73,2
7143,21,3,0
7144,46,26,7
7145,4188,408,9
7146,75,3,0
7147,156,52,14
7148,64,16,3
7149,22,10,1
7150,102,18,5
7151,10,5,0
7152,84,41,11
7153,90,15,1
7154,94,68,8
7155,60,21,6
7156,141,51,3
7157,86,24,5
7158,72,19,4
7159,10,5,0
7160,62,36,9
7161,30,12,1
7162,101,61,12
7163,31,12,1
7164,93,60,10
7165,75,15,1
7166,94,71,8
7167,53,20,5
7168,174,58,3
7169,112,29,8
7170,12,5,0
7171,81,45,11
7172,31,13,1
7173,73,61,6
7174,169,32,1
7175,89,68,9
7176,77,27,9
7177,54,23,3
7178,43,23,2
7179,172,59,2
7180,182,52,13
7181,191,47,15
7182,135,40,7
7183,18,6,1
7184,49,28,7
7185,28,13,2
7186,26,13,2
7187,377,158,6
7188,77,3,0
7189,50,31,9
7190,202,9,1
7191,60,34,10
7192,90,22,1
7193,459,80,4
7194,20,3,0
7195,50,31,9
7196,9,5,0
7197,44,30,8
7198,43,18,4
7199,490,85,5
7200,20,3,0
7201,45,26,7
7202,10,5,0
7203,43,30,7
7204,144,9,1
7205,1500,491,208
7206,18,9,0
7207,84,40,12
7208,122,14,1
7209,97,45,11
7210,61,32,2
7211,502,70,11
7212,64,31,1
7213,59,31,1
7214,249,72,8
7215,17,9,0
7216,68,38,11
7217,784,27,13
7218,847,38,9
7219,11223,120,42
7220,22,9,0
7221,76,34,8
7222,15,11,0
7223,171,45,6
7224,130,87,7
7225,85,45,13
7226,14,13,0
7227,947,183,9
7228,353,324,3
7229,12980,1077,361
7230,280,46,15
7231,41,11,0
7232,895,81,118
7233,49,13,0
7234,155,35,7
7235,279,74,9
7236,53,15,0
7237,231,42,8
7238,1493,200,13
7239,4944,1278,2
7240,463,480,31
7241,265,39,9
7242,182,22,3
7243,180,16,1
7244,266,25,4
7245,388,25,4
7246,404,19,2
7247,435,19,2
7248,474,19,2
7249,562,25,4
7250,644,19,2
7251,600,19,2
7252,638,16,1
7253,660,16,1
7254,776,19,2
7255,679,19,2
7256,765,25,4
7257,794,19,2
7258,796,16,1
7259,812,16,1
7260,815,16,1
7261,868,22,3
7262,879,16,1
7263,940,16,1
7264,944,19,2
7265,976,19,2
7266,978,16,1
7267,1017,16,1
7268,1016,16,1
7269,1104,25,4
7270,1143,16,1
7271,1157,19,2
7272,1362,16,1
7273,1267,16,1
7274,3157,328,7
7275,175,3,0
7276,98,31,9
7277,19,5,0
7278,90,31,8
7279,37,15,1
7280,525,73,2
7281,21,3,0
7282,54,31,9
7283,549,51,4
7284,21,3,0
7285,57,31,9
7286,754,95,5
7287,20,3,0
7288,46,26,7
7289,2744,325,4
7290,66,3,0
7291,156,52,14
7292,64,16,3
7293,21,10,1
7294,99,18,5
7295,11,5,0
7296,80,41,11
7297,93,15,1
7298,90,68,8
7299,61,21,6
7300,136,51,3
7301,87,24,5
7302,70,19,4
7303,10,5,0
7304,61,36,9
7305,30,12,1
7306,105,61,12
7307,30,12,1
7308,93,60,10
7309,76,15,1
7310,94,71,8
7311,53,20,5
7312,167,58,3
7313,112,29,8
7314,11,5,0
7315,81,45,11
7316,31,13,1
7317,72,61,6
7318,169,32,1
7319,88,68,9
7320,76,27,9
7321,55,23,3
7322,43,23,2
7323,166,59,2
7324,206,52,13
7325,194,47,15
7326,136,40,7
7327,18,6,1
7328,50,28,7
7329,27,13,2
7330,29,13,2
7331,370,158,6
7332,75,3,0
7333,50,31,9
7334,188,9,1
7335,64,33,10
7336,84,22,2
7337,459,79,5
7338,19,3,0
7339,50,31,9
7340,10,5,0
7341,43,30,8
7342,42,18,4
7343,476,85,5
7344,19,3,0
7345,43,26,7
7346,8,5,0
7347,39,29,7
7348,9,7,0
7349,37,30,6
7350,10,9,0
7351,1424,439,205
7352,14,11,0
7353,114,54,14
7354,20,13,0
7355,71,40,8
7356,94,47,13
7357,19,17,0
7358,1222,240,8
7359,519,435,4
7360,360,60,6
7361,218,65,1
7362,13,13,0
7363,60,40,8
7364,71,47,13
7365,15,17,0
7366,763,161,8
7367,237,283,3
7368,153,54,3
7369,173,61,2
7370,639,806,6
7371,399,3,0
7372,54,31,9
7373,10,5,0
7374,44,30,8
7375,24,14,1
7376,464,73,2
7377,21,3,0
7378,50,31,9
7379,415,51,4
7380,20,3,0
7381,49,31,9
7382,494,76,5
7383,20,3,0
7384,44,26,7
7385,278,49,3
7386,30,3,0
7387,142,52,14
7388,60,16,3
7389,21,10,1
7390,95,18,5
7391,10,5,0
7392,75,41,11
7393,75,15,1
7394,86,68,8
7395,58,21,6
7396,139,51,3
7397,81,24,5
7398,70,19,4
7399,10,5,0
7400,61,36,9
7401,30,12,1
7402,96,61,12
7403,32,12,1
7404,89,60,10
7405,72,15,1
7406,92,71,8
7407,52,20,5
7408,166,58,3
7409,109,29,8
7410,10,5,0
7411,77,45,11
7412,31,13,1
7413,72,61,6
7414,165,32,1
7415,89,68,9
7416,74,27,9
7417,53,23,3
7418,42,23,2
7419,168,59,2
7420,180,52,13
7421,186,47,15
7422,134,40,7
7423,17,6,1
7424,48,28,7
7425,28,13,2
7426,27,13,2
7427,370,158,6
7428,77,3,0
7429,49,31,9
7430,209,9,1
7431,60,33,10
7432,85,23,2
7433,515,81,5
7434,20,3,0
7435,50,31,9
7436,9,5,0
7437,42,30,8
7438,42,18,4
7439,516,85,5
7440,21,3,0
7441,43,26,7
7442,8,5,0
7443,41,29,7
7444,2598,862,35
7445,99,3,0
7446,50,31,9
7447,9,5,0
7448,45,31,8
7449,23,15,1
7450,487,73,2
7451,21,3,0
7452,50,31,9
7453,440,51,4
7454,20,3,0
7455,49,31,9
7456,465,75,5
7457,19,3,0
7458,44,26,7
7459,245,49,3
7460,29,3,0
7461,135,52,14
7462,57,16,3
7463,22,10,1
7464,90,18,5
7465,10,5,0
7466,71,41,11
7467,71,15,1
7468,86,68,8
7469,58,21,6
7470,141,51,3
7471,83,24,5
7472,71,19,4
7473,10,5,0
7474,61,36,9
7475,30,12,1
7476,101,61,12
7477,30,12,1
7478,91,60,10
7479,70,15,1
7480,94,71,8
7481,52,20,5
7482,184,58,3
7483,110,29,8
7484,11,5,0
7485,74,45,11
7486,28,13,1
7487,72,61,6
7488,160,32,1
7489,89,68,9
7490,78,27,9
7491,57,23,3
7492,44,23,2
7493,173,59,2
7494,178,52,13
7495,182,47,15
7496,138,40,7
7497,17,6,1
7498,47,28,7
7499,26,13,2
7500,26,13,2
7501,392,158,6
7502,80,3,0
7503,50,31,9
7504,187,9,1
7505,58,34,10
7506,89,23,2
7507,479,81,5
7508,19,3,0
7509,59,31,9
7510,9,5,0
7511,44,30,8
7512,41,18,4
7513,473,85,5
7514,19,3,0
7515,43,26,7
7516,9,5,0
7517,40,29,7
7518,9,7,0
7519,38,30,6
7520,5128,690,6
7521,56,3,0
7522,57,31,9
7523,10,5,0
7524,47,31,8
7525,26,15,1
7526,377,73,2
7527,21,3,0
7528,51,31,9
7529,339,51,4
7530,20,3,0
7531,51,31,9
7532,435,74,5
7533,20,3,0
7534,45,26,7
7535,242,49,3
7536,32,3,0
7537,199,63,13
7538,61,16,3
7539,22,10,1
7540,89,18,5
7541,10,5,0
7542,63,36,9
7543,38,12,1
7544,84,57,9
7545,279,51,1
7546,99,72,8
7547,144,50,24
7548,65,23,5
7549,55,23,4
7550,51,23,3
7551,43,23,2
7552,260,54,3
7553,205,64,17
7554,159,19,4
7555,11,5,0
7556,120,36,9
7557,61,12,1
7558,162,61,13
7559,42,12,1
7560,95,60,10
7561,137,24,1
7562,104,73,8
7563,69,23,8
7564,191,58,3
7565,172,38,12
7566,162,39,6
7567,122,25,6
7568,11,5,0
7569,74,36,9
7570,32,12,1
7571,99,61,12
7572,40,12,1
7573,98,60,10
7574,160,28,1
7575,103,74,8
7576,99,34,14
7577,49,23,2
7578,228,58,3
7579,207,54,11
7580,126,25,5
7581,11,5,0
7582,65,36,9
7583,33,12,1
7584,101,61,13
7585,37,12,1
7586,93,60,10
7587,298,21,1
7588,103,76,8
7589,135,49,23
7590,65,23,5
7591,55,23,4
7592,51,23,3
7593,45,23,2
7594,250,58,3
7595,302,69,18
7596,132,19,4
7597,11,5,0
7598,65,36,9
7599,32,12,1
7600,102,61,13
7601,32,12,1
7602,91,60,10
7603,172,22,1
7604,106,73,8
7605,67,23,8
7606,202,58,3
7607,192,38,12
7608,184,39,6
7609,151,25,6
7610,11,5,0
7611,63,36,9
7612,32,12,1
7613,105,61,12
7614,39,12,1
7615,102,60,10
7616,77,16,1
7617,96,71,8
7618,54,20,5
7619,214,58,3
7620,178,35,12
7621,103,23,6
7622,257,63,14
7623,102,23,7
7624,261,57,15
7625,70,17,1
7626,11,5,0
7627,93,52,14
7628,39,13,1
7629,79,61,6
7630,42,13,1
7631,73,60,6
7632,903,187,1
7633,125,80,9
7634,252,75,33
7635,150,23,15
7636,128,23,14
7637,124,23,13
7638,120,23,12
7639,117,23,11
7640,113,23,10
7641,110,23,9
7642,108,23,8
7643,103,23,7
7644,100,23,6
7645,97,23,5
7646,93,23,4
7647,90,23,3
7648,66,23,2
7649,586,63,2
7650,1042,187,61
7651,336,47,13
7652,128,24,2
7653,273,38,5
7654,492,25,6
7655,11,5,0
7656,68,36,9
7657,34,12,1
7658,102,61,12
7659,32,12,1
7660,97,60,10
7661,29,11,1
7662,95,58,7
7663,144,41,8
7664,237,21,5
7665,84,22,7
7666,316,71,3
7667,370,44,14
7668,399,86,15
7669,75,14,2
7670,97,19,4
7671,11,5,0
7672,70,36,9
7673,32,12,1
7674,101,61,12
7675,31,12,1
7676,95,60,10
7677,74,15,1
7678,99,71,8
7679,55,20,5
7680,288,58,3
7681,264,41,16
7682,130,20,1
7683,12,5,0
7684,80,45,11
7685,32,13,1
7686,78,61,6
7687,175,32,1
7688,96,68,9
7689,84,27,9
7690,60,23,3
7691,47,23,2
7692,239,59,2
7693,247,52,13
7694,388,69,22
7695,127,14,3
7696,279,40,7
7697,31,8,5
7698,74,28,7
7699,49,13,2
7700,59,13,2
7701,1130,533,6
7702,264,3,0
7703,56,31,9
7704,171,9,1
7705,72,35,12
7706,98,24,2
7707,451,79,5
7708,20,3,0
7709,50,31,9
7710,9,5,0
7711,44,30,8
7712,44,18,4
7713,449,85,5
7714,20,3,0
7715,45,26,7
7716,9,5,0
7717,44,32,7
7718,10,7,0
7719,43,33,7
7720,442,122,7
7721,53,3,0
7722,51,31,9
7723,10,5,0
7724,47,31,8
7725,24,15,1
7726,396,73,2
7727,21,3,0
7728,51,31,9
7729,357,51,4
7730,20,3,0
7731,50,31,9
7732,501,87,5
7733,20,3,0
7734,44,26,7
7735,443,67,3
7736,35,3,0
7737,155,52,14
7738,61,16,3
7739,22,10,1
7740,93,18,5
7741,11,5,0
7742,76,41,11
7743,79,15,1
7744,87,68,8
7745,59,21,6
7746,144,51,3
7747,84,24,5
7748,71,19,4
7749,11,5,0
7750,62,36,9
7751,29,12,1
7752,97,61,12
7753,30,12,1
7754,92,60,10
7755,73,15,1
7756,97,71,8
7757,54,20,5
7758,181,58,3
7759,114,29,8
7760,12,5,0
7761,80,45,11
7762,33,13,1
7763,73,61,6
7764,165,32,1
7765,92,68,9
7766,78,27,9
7767,58,23,3
7768,45,23,2
7769,179,59,2
7770,182,52,13
7771,187,47,15
7772,142,40,7
7773,18,6,1
7774,48,28,7
7775,28,13,2
7776,27,13,2
7777,361,158,6
7778,84,3,0
7779,53,31,9
7780,151,9,1
7781,59,33,10
7782,87,23,2
7783,444,81,5
7784,20,3,0
7785,50,31,9
7786,9,5,0
7787,43,30,8
7788,42,18,4
7789,452,85,5
7790,21,3,0
7791,44,26,7
7792,8,5,0
7793,41,29,7
7794,3746,635,21
7795,96,3,0
7796,51,31,9
7797,9,5,0
7798,44,31,8
7799,24,15,1
7800,375,73,2
7801,22,3,0
7802,51,31,9
7803,314,51,4
7804,21,3,0
7805,51,31,9
7806,401,75,5
7807,21,3,0
7808,44,26,7
7809,237,49,3
7810,31,3,0
7811,137,52,14
7812,59,16,3
7813,22,10,1
7814,90,18,5
7815,10,5,0
7816,74,41,11
7817,70,15,1
7818,87,68,8
7819,56,21,6
7820,146,51,3
7821,82,24,5
7822,72,19,4
7823,10,5,0
7824,62,36,9
7825,29,12,1
7826,98,61,12
7827,31,12,1
7828,95,60,10
7829,72,15,1
7830,98,71,8
7831,54,20,5
7832,182,58,3
7833,112,29,8
7834,12,5,0
7835,75,45,11
7836,31,13,1
7837,76,61,6
7838,162,32,1
7839,92,68,9
7840,78,27,9
7841,56,23,3
7842,45,23,2
7843,180,59,2
7844,184,52,13
7845,187,47,15
7846,141,40,7
7847,17,6,1
7848,47,28,7
7849,26,13,2
7850,25,13,2
7851,352,158,6
7852,84,3,0
7853,48,31,9
7854,130,9,1
7855,58,34,10
7856,31,18,2
7857,37,29,6
7858,56,38,1
7859,375,80,5
7860,21,3,0
7861,49,31,9
7862,10,5,0
7863,43,30,8
7864,41,18,4
7865,411,85,5
7866,19,3,0
7867,43,26,7
7868,10,5,0
7869,39,29,7
7870,10,7,0
7871,44,31,7
7872,12,9,0
7873,62,40,15
7874,239,145,27
7875,372,22,53
7876,92,47,9
7877,3637,141,9
7878,178,3,0
7879,74,31,9
7880,20,5,0
7881,67,31,8
7882,37,15,1
7883,460,73,2
7884,23,3,0
7885,64,31,9
7886,414,50,4
7887,23,3,0
7888,64,31,9
7889,459,75,5
7890,21,3,0
7891,48,26,7
7892,250,49,3
7893,36,3,0
7894,211,64,14
7895,65,16,3
7896,26,10,1
7897,113,18,5
7898,11,5,0
7899,74,36,9
7900,51,12,1
7901,96,57,9
7902,317,51,1
7903,106,72,8
7904,199,50,24
7905,73,23,5
7906,60,23,4
7907,54,23,3
7908,46,23,2
7909,272,54,3
7910,231,64,17
7911,101,19,4
7912,11,5,0
7913,63,36,9
7914,32,12,1
7915,107,61,13
7916,30,12,1
7917,95,60,10
7918,145,24,1
7919,105,73,8
7920,70,23,8
7921,192,58,3
7922,179,38,12
7923,165,39,6
7924,126,25,6
7925,11,5,0
7926,64,36,9
7927,34,12,1
7928,104,61,12
7929,40,12,1
7930,101,60,10
7931,161,28,1
7932,105,74,8
7933,102,34,14
7934,49,23,2
7935,238,58,3
7936,209,54,11
7937,163,25,5
7938,13,5,0
7939,64,36,9
7940,31,12,1
7941,104,61,13
7942,31,12,1
7943,100,60,10
7944,308,21,1
7945,108,76,8
7946,154,49,23
7947,70,23,5
7948,60,23,4
7949,53,23,3
7950,46,23,2
7951,281,58,3
7952,299,69,18
7953,133,19,4
7954,11,5,0
7955,64,36,9
7956,34,12,1
7957,106,61,13
7958,32,12,1
7959,96,60,10
7960,175,22,1
7961,111,73,8
7962,72,23,8
7963,218,58,3
7964,200,38,12
7965,196,39,6
7966,157,25,6
7967,11,5,0
7968,65,36,9
7969,44,12,1
7970,107,61,12
7971,40,12,1
7972,106,60,10
7973,77,16,1
7974,99,71,8
7975,56,20,5
7976,229,58,3
7977,186,35,12
7978,115,23,6
7979,278,63,14
7980,112,23,7
7981,283,57,15
7982,76,17,1
7983,11,5,0
7984,99,52,14
7985,42,13,1
7986,86,61,6
7987,44,13,1
7988,77,60,6
7989,1051,187,1
7990,134,80,9
7991,264,75,33
7992,164,23,15
7993,132,23,14
7994,127,23,13
7995,121,23,12
7996,117,23,11
7997,115,23,10
7998,111,23,9
7999,107,23,8
8000,103,23,7
8001,101,23,6
8002,98,23,5
8003,95,23,4
8004,92,23,3
8005,67,23,2
8006,598,63,2
8007,1031,187,61
8008,343,47,13
8009,127,24,2
8010,289,38,5
8011,527,25,6
8012,11,5,0
8013,67,36,9
8014,36,12,1
8015,102,61,12
8016,33,12,1
8017,98,60,10
8018,113,18,1
8019,102,73,8
8020,66,22,7
8021,312,58,3
8022,355,44,14
8023,374,85,14
8024,70,14,2
8025,94,19,4
8026,11,5,0
8027,63,36,9
8028,31,12,1
8029,102,61,12
8030,30,12,1
8031,101,60,10
8032,71,15,1
8033,96,71,8
8034,55,20,5
8035,288,58,3
8036,269,41,16
8037,122,20,1
8038,12,5,0
8039,79,45,11
8040,31,13,1
8041,76,61,6
8042,164,32,1
8043,96,68,9
8044,85,27,9
8045,58,23,3
8046,48,23,2
8047,236,59,2
8048,237,52,13
8049,374,69,22
8050,118,14,3
8051,263,40,7
8052,32,8,5
8053,53,28,7
8054,30,13,2
8055,30,13,2
8056,976,534,6
8057,271,3,0
8058,55,31,9
8059,177,9,1
8060,71,35,12
8061,96,24,2
8062,472,79,5
8063,21,3,0
8064,50,31,9
8065,8,5,0
8066,43,30,8
8067,43,18,4
8068,452,85,5
8069,19,3,0
8070,44,26,7
8071,10,5,0
8072,44,32,7
8073,10,7,0
8074,192,46,8
8075,34,16,2
8076,10,9,0
8077,176,217,8
8078,13,11,0
8079,1854,306,127
8080,23,13,0
8081,72,38,8
8082,19,15,0
8083,186,51,7
8084,39,19,1
8085,339,108,7
8086,94,49,13
8087,18,17,0
8088,666,116,9
8089,420,208,3
8090,2232,394,119
8091,65,38,3
8092,156,88,8
8093,2214,884,10
8094,1043,3,0
8095,62,31,9
8096,10,5,0
8097,50,31,8
8098,26,15,1
8099,421,73,2
8100,21,3,0
8101,53,31,9
8102,404,51,4
8103,21,3,0
8104,51,31,9
8105,561,94,5
8106,20,3,0
8107,45,26,7
8108,364,67,3
8109,37,3,0
8110,555,128,14
8111,63,16,3
8112,24,10,1
8113,100,18,5
8114,10,5,0
8115,65,36,9
8116,43,12,1
8117,86,57,9
8118,286,51,1
8119,100,72,8
8120,142,50,24
8121,75,23,5
8122,58,23,4
8123,52,23,3
8124,43,23,2
8125,253,54,3
8126,206,64,17
8127,96,19,4
8128,12,5,0
8129,62,36,9
8130,29,12,1
8131,101,61,13
8132,31,12,1
8133,93,60,10
8134,140,24,1
8135,101,73,8
8136,69,23,8
8137,196,58,3
8138,175,38,12
8139,161,39,6
8140,123,25,6
8141,12,5,0
8142,63,36,9
8143,32,12,1
8144,98,61,12
8145,37,12,1
8146,95,60,10
8147,75,16,1
8148,97,71,8
8149,57,20,5
8150,197,58,3
8151,157,35,12
8152,57,14,1
8153,11,5,0
8154,92,52,14
8155,40,13,1
8156,80,61,6
8157,42,13,1
8158,71,60,6
8159,899,187,1
8160,124,80,9
8161,226,75,33
8162,137,23,15
8163,120,23,14
8164,115,23,13
8165,110,23,12
8166,109,23,11
8167,103,23,10
8168,109,23,9
8169,109,23,8
8170,105,23,7
8171,102,23,6
8172,98,23,5
8173,95,23,4
8174,93,23,3
8175,68,23,2
8176,589,63,2
8177,969,187,61
8178,335,54,15
8179,101,14,2
8180,242,38,5
8181,495,25,6
8182,11,5,0
8183,65,36,9
8184,159,28,1
8185,89,66,8
8186,72,24,7
8187,50,23,2
8188,207,50,3
8189,314,56,12
8190,641,79,14
8191,12,5,0
8192,75,41,10
8193,31,12,1
8194,102,61,14
8195,35,12,1
8196,74,53,7
8197,32,12,1
8198,106,60,11
8199,306,21,1
8200,110,81,8
8201,136,49,23
8202,68,23,5
8203,59,23,4
8204,53,23,3
8205,45,23,2
8206,314,61,3
8207,367,73,25
8208,14,5,0
8209,83,45,11
8210,37,13,1
8211,78,61,6
8212,33,13,1
8213,227,105,8
8214,91,20,4
8215,11,5,0
8216,65,38,9
8217,33,13,1
8218,220,102,8
8219,33,13,2
8220,135,20,5
8221,11,5,0
8222,68,36,9
8223,32,12,1
8224,104,61,13
8225,34,12,1
8226,100,60,10
8227,149,24,1
8228,108,73,8
8229,74,24,9
8230,286,62,6
8231,313,42,12
8232,268,42,9
8233,12,5,0
8234,66,38,9
8235,34,13,1
8236,228,102,8
8237,32,13,2
8238,136,20,5
8239,11,5,0
8240,63,36,9
8241,32,12,1
8242,101,61,12
8243,32,12,1
8244,100,60,10
8245,130,23,1
8246,104,73,8
8247,69,23,8
8248,292,62,6
8249,320,42,12
8250,286,42,9
8251,12,5,0
8252,65,38,9
8253,33,13,1
8254,228,102,8
8255,32,13,2
8256,179,21,7
8257,12,5,0
8258,65,36,9
8259,34,12,1
8260,101,61,12
8261,42,12,1
8262,103,60,10
8263,128,12,1
8264,99,71,8
8265,57,20,5
8266,278,62,6
8267,321,42,14
8268,135,22,3
8269,12,5,0
8270,98,41,14
8271,59,25,7
8272,1284,82,9
8273,55,6,1
8274,96,52,14
8275,42,13,1
8276,82,61,6
8277,34,13,1
8278,74,60,6
8279,571,99,1
8280,117,74,9
8281,157,51,21
8282,102,23,9
8283,84,23,8
8284,77,23,7
8285,74,23,6
8286,70,23,5
8287,67,23,4
8288,63,23,3
8289,52,23,2
8290,384,63,2
8291,780,137,42
8292,401,57,15
8293,164,15,3
8294,301,39,6
8295,218,20,5
8296,11,5,0
8297,66,36,9
8298,40,12,1
8299,102,61,12
8300,35,12,1
8301,105,60,10
8302,332,56,1
8303,111,76,8
8304,85,24,7
8305,52,23,2
8306,381,58,3
8307,380,56,12
8308,232,19,4
8309,13,5,0
8310,99,36,9
8311,54,12,1
8312,153,61,13
8313,62,12,1
8314,188,60,10
8315,403,21,1
8316,119,76,8
8317,170,49,23
8318,76,23,5
8319,65,23,4
8320,61,23,3
8321,52,23,2
8322,432,58,3
8323,491,77,20
8324,356,19,4
8325,14,5,0
8326,95,36,9
8327,37,12,1
8328,115,61,13
8329,41,12,1
8330,107,60,10
8331,209,21,1
8332,119,73,8
8333,85,24,9
8334,533,58,3
8335,457,47,17
8336,442,47,6
8337,331,19,4
8338,14,5,0
8339,90,36,9
8340,43,12,1
8341,123,61,12
8342,38,12,1
8343,113,60,10
8344,275,14,1
8345,115,73,8
8346,84,23,8
8347,524,58,3
8348,465,47,19
8349,414,47,6
8350,348,20,6
8351,15,5,0
8352,74,36,9
8353,40,12,1
8354,114,61,12
8355,47,12,1
8356,121,60,10
8357,96,16,1
8358,105,71,8
8359,62,20,5
8360,377,58,3
8361,337,39,15
8362,304,40,18
8363,651,90,22
8364,14,5,0
8365,134,42,18
8366,64,25,7
8367,2016,83,9
8368,243,24,8
8369,633,95,35
8370,219,25,3
8371,230,29,6
8372,12,5,0
8373,91,45,11
8374,44,13,1
8375,81,61,6
8376,292,52,1
8377,104,70,9
8378,110,35,13
8379,73,23,5
8380,63,23,4
8381,59,23,3
8382,51,23,2
8383,337,59,3
8384,618,92,38
8385,517,68,16
8386,156,14,2
8387,345,38,5
8388,107,19,4
8389,11,5,0
8390,67,36,9
8391,40,12,1
8392,107,61,12
8393,36,12,1
8394,102,60,10
8395,375,21,1
8396,112,76,8
8397,164,49,23
8398,74,23,5
8399,65,23,4
8400,60,23,3
8401,53,23,2
8402,515,58,3
8403,633,95,32
8404,13,5,0
8405,69,38,9
8406,36,13,1
8407,283,102,8
8408,126,20,4
8409,12,5,0
8410,69,38,9
8411,35,13,1
8412,268,102,8
8413,33,13,2
8414,179,20,5
8415,12,5,0
8416,70,36,9
8417,33,12,1
8418,111,61,13
8419,33,12,1
8420,107,60,10
8421,201,14,1
8422,110,73,8
8423,81,24,9
8424,436,62,6
8425,443,42,12
8426,381,42,9
8427,12,5,0
8428,68,38,9
8429,34,13,1
8430,281,102,8
8431,33,13,2
8432,181,20,5
8433,12,5,0
8434,70,36,9
8435,34,12,1
8436,107,61,12
8437,37,12,1
8438,118,60,10
8439,178,14,1
8440,168,73,8
8441,76,23,8
8442,627,62,6
8443,491,42,12
8444,419,42,9
8445,13,5,0
8446,85,38,9
8447,36,13,1
8448,301,102,8
8449,43,13,2
8450,264,21,7
8451,12,5,0
8452,66,36,9
8453,36,12,1
8454,102,61,12
8455,41,12,1
8456,118,60,10
8457,134,12,1
8458,106,71,8
8459,60,20,5
8460,584,62,6
8461,428,42,14
8462,170,22,3
8463,13,5,0
8464,117,42,15
8465,189,49,14
8466,197,60,21
8467,66,22,8
8468,456,76,11
8469,20,6,1
8470,70,35,11
8471,242,45,1
8472,68,6,1
8473,105,52,14
8474,44,13,1
8475,86,61,6
8476,42,13,1
8477,77,60,6
8478,542,22,1
8479,98,74,9
8480,142,51,21
8481,81,23,9
8482,73,23,8
8483,68,23,7
8484,68,23,6
8485,62,23,5
8486,57,23,4
8487,55,23,3
8488,49,23,2
8489,359,62,2
8490,1129,141,43
8491,570,61,15
8492,233,15,3
8493,408,39,6
8494,289,20,5
8495,12,5,0
8496,75,36,9
8497,43,12,1
8498,104,61,12
8499,34,12,1
8500,102,60,10
8501,389,17,1
8502,109,76,8
8503,75,24,7
8504,51,23,2
8505,703,58,3
8506,448,56,12
8507,249,19,4
8508,12,5,0
8509,71,36,9
8510,35,12,1
8511,115,61,13
8512,35,12,1
8513,111,60,10
8514,359,21,1
8515,116,76,8
8516,173,49,23
8517,75,23,5
8518,69,23,4
8519,63,23,3
8520,54,23,2
8521,577,58,3
8522,586,81,21
8523,401,19,4
8524,15,5,0
8525,75,36,9
8526,41,12,1
8527,117,61,13
8528,34,12,1
8529,109,60,10
8530,199,21,1
8531,111,73,8
8532,79,24,9
8533,514,58,3
8534,442,47,17
8535,459,47,6
8536,324,19,4
8537,12,5,0
8538,71,36,9
8539,34,12,1
8540,114,61,12
8541,35,12,1
8542,107,60,10
8543,195,14,1
8544,110,73,8
8545,84,23,8
8546,521,58,3
8547,469,47,19
8548,497,47,6
8549,416,20,6
8550,14,5,0
8551,75,36,9
8552,37,12,1
8553,110,61,12
8554,44,12,1
8555,110,60,10
8556,138,12,1
8557,102,71,8
8558,62,20,5
8559,512,58,3
8560,400,39,15
8561,330,40,18
